Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,imageID,dorsal_lateral_bad,weight_bad,weight_dorsal,weight_lateral,conf_infers1,conf_infers3,conf_infers5,conf_infers7,bad_signifier
3386.0,2305.0,,INAT-35540426-4,dorsal,1.0951080322265625,1.6789981126785278,-2.9708590507507324,bad,bad,bad,bad,
3387.0,2306.0,,INAT-80967017-1,lateral,-7.2787275314331055,1.3937227725982666,5.93541145324707,lateral,lateral,bad,bad,
3388.0,2307.0,,INAT-132584431-2,lateral,-1.774718165397644,-5.681544303894043,7.7184624671936035,lateral,lateral,lateral,lateral,
3389.0,2308.0,,INAT-70979824-2,lateral,-4.980097770690918,-9.72126293182373,14.7532377243042,lateral,lateral,lateral,lateral,
3390.0,2309.0,,INAT-52091778-1,lateral,-4.657427310943604,-8.919024467468262,13.857048988342283,lateral,lateral,lateral,lateral,
3391.0,2310.0,,INAT-119149127-2,lateral,-0.4955410063266754,-4.928840637207031,5.197916507720947,lateral,lateral,lateral,bad,
3392.0,2311.0,,INAT-84124008-1,lateral,2.772376537322998,-10.590442657470703,7.808388710021973,lateral,lateral,lateral,bad,
3393.0,2312.0,,INAT-35699335-2,lateral,-5.018708229064941,-5.87900447845459,10.805421829223633,lateral,lateral,lateral,lateral,
3394.0,2313.0,,INAT-130530869-2,dorsal,2.535933494567871,2.9235377311706543,-5.743460655212402,bad,bad,bad,bad,
3395.0,2314.0,,INAT-47044584-9,bad,4.162930011749268,-7.422310352325439,3.2382729053497314,bad,bad,bad,bad,
3396.0,2315.0,,INAT-88756872-3,dorsal,-4.786097526550293,5.289127349853516,-0.7038552761077881,dorsal,dorsal,dorsal,bad,
3397.0,2316.0,,INAT-88028657-1,dorsal,-4.056319713592529,5.0287275314331055,-1.1803209781646729,dorsal,dorsal,dorsal,bad,
3398.0,2317.0,,INAT-28966676-2,bad,2.565626859664917,-2.0651159286499023,-0.8501599431037903,bad,bad,bad,bad,
3399.0,2318.0,,INAT-123606794-2,lateral,-7.534331798553467,-7.193713665008545,14.43509292602539,lateral,lateral,lateral,lateral,
3400.0,2319.0,,INAT-89711372-3,lateral,-2.0621001720428467,-4.068204879760742,6.395411014556885,lateral,lateral,lateral,lateral,
3401.0,2320.0,,INAT-130530869-3,bad,3.095091819763184,0.3425121903419494,-3.7622570991516113,bad,bad,bad,bad,
3402.0,2321.0,,INAT-49516633-2,bad,2.060586214065552,0.977935254573822,-2.910661220550537,bad,bad,bad,bad,
3403.0,2322.0,,INAT-130886682-1,dorsal,-5.540436744689941,9.952268600463867,-4.683522701263428,dorsal,dorsal,dorsal,dorsal,
3404.0,2323.0,,INAT-50119565-2,dorsal,-2.329644203186035,1.3835854530334473,0.9365916848182678,bad,bad,bad,bad,
3405.0,2324.0,,INAT-50732033-1,lateral,-1.892828702926636,-6.025662422180176,7.6103196144104,lateral,lateral,lateral,lateral,
3406.0,2325.0,,INAT-1921166-1,lateral,-0.3862104415893554,-2.5407071113586426,3.0169782638549805,lateral,lateral,bad,bad,
3407.0,2326.0,,INAT-28975908-1,lateral,-7.686724662780762,-5.817173004150391,13.532347679138184,lateral,lateral,lateral,lateral,
