,John,,,,Jessica,,,
Petaluridae - Petaltails,,,,,,,,
"Tachopteryx thoreyi (Hagen in Selys, 1858) - Gray Petaltail",,,x,,,,X,
"Tanypteryx hageni (Selys, 1879) - Black Petaltail",,,x,,,,X,
,,,,,,,,
Aeshnidae - Darners,,,,,,,,
"Aeshna canadensis Walker, 1908 - Canada Darner",,x,,,,X,,
"Aeshna clepsydra Say, 1839 - Mottled Darner",,x,,,,X,,
"Aeshna constricta Say, 1839 - Lance-tipped Darner",,x,,,,X,,
"Aeshna eremita Scudder, 1866 - Lake Darner",,x,,,,X,,
"Aeshna interrupta Walker, 1908 - Variable Darner",,x,,,,X,,
"Aeshna juncea (Linnaeus, 1758) - Sedge Darner",,x,,,,X,,
"Aeshna palmata Hagen, 1856 - Paddle-tailed Darner",,x,,,,X,,
"Aeshna persephone Donnelly, 1961 - Persephone’s Darner",,x,,,,X,,
"Aeshna septentrionalis Burmeister, 1839 - Azure Darner",,x,,,,X,,
"Aeshna sitchensis Hagen, 1861 - Zigzag Darner",,x,,,,X,,
"Aeshna subarctica Walker, 1908 - Subarctic Darner",,x,,,,X,,
"Aeshna tuberculifera Walker, 1908 - Black-tipped Darner",,x,,,,X,,
"Aeshna umbrosa Walker, 1908 - Shadow Darner",,x,,,,X,,
"Aeshna verticalis Hagen, 1861 - Green-striped Darner",,x,,,,X,,
"Aeshna walkeri Kennedy, 1917 - Walker’s Darner",,x,,,,X,,
"Anax amazili (Burmeister, 1839) - Amazon Darner",,x,,,,X,,
"Anax concolor Brauer, 1865 - Blue-spotted Comet Darner",,x,,,,X,,
"Anax junius (Drury, 1773) - Common Green Darner",,x,,,,X,,
"Anax longipes Hagen, 1861 - Comet Darner",,x,,,,X,,
"Anax walsinghami McLachlan, 1883 - Giant Darner",,x,,,,X,,
"Basiaeschna janata (Say, 1839) - Springtime Darner",x,,,,,X,,
"Boyeria grafiana Williamson, 1907 - Ocellated Darner",x,,,,,X,,
"Boyeria vinosa (Say, 1839) - Fawn Darner",x,,,,,X,,
"Coryphaeschna adnexa (Hagen, 1861) - Blue-faced Darner",,x,,,,X,,
"Coryphaeschna apeora Paulson, 1994 - Icarus Darner",,x,,,,X,,
"Coryphaeschna ingens (Rambur, 1842) - Regal Darner",,x,,,,X,,
